STATE,YEAR,REGION,ENROLL,TOTAL_EXPENDITURE,G08_A_M_READING,G08_A_M_MATHEMATICS,G08_A_F_READING,G08_A_F_MATHEMATICS,EXPENDITURE_PER_STUDENT,HS_or_higher_25-44,Bach_or_higher_25-44,AVG_HS,AVG_BACH,
United States,2005,N,NA,NA,NA,NA,NA,NA,NA,86,29.4,86,29.4,
Alabama,2005,SE,729342,5904664,245,261,260,,8.095878203,84.3,23.5,85.6,24.5,
Alaska,2005,W,132568,1751718,253,280,265,278,13.21373182,86.2,24,90,28,
Arizona,2005,SW,919875,7136794,249,274,260,274,7.758438918,84.4,25.2,81.8,24.1,
Arkansas,2005,SE,461667,3999608,252,270,263,273,8.663404575,85.5,20.5,85.6,24.5,
California,2005,SW,6307022,66196072,246,269,255,268,10.49561457,78.3,29.3,81.8,24.1,
Colorado,2005,W,765388,7284280,261,281,268,281,9.517107663,90.4,37.3,90,28,
Connecticut,2005,NE,552512,7452057,258,281,270,281,13.48759303,88.9,37.8,92,34.6,
Delaware,2005,MA,112562,1480157,261,283,271,279,13.14970416,88.8,30.5,87.9,37.1,
District of Columbia,2005,MA,62306,1085658,230,246,245,245,17.424614,87.8,52.2,87.9,37.1,
Florida,2005,SE,2645280,23857012,249,276,262,272,9.018709551,84.1,25.5,85.6,24.5,
Georgia,2005,SE,1552758,14492666,251,273,263,272,9.333499489,88.2,30.6,85.6,24.5,
Hawaii,2005,W,183185,1765805,242,265,256,266,9.639462838,86.9,26.8,90,28,
Idaho,2005,W,253782,1819519,258,280,271,282,7.169614078,87.5,24,90,28,
Illinois,2005,MW,2072437,22035569,258,279,269,276,10.63268461,89,33.8,91.8,29.9,
Indiana,2005,MW,1014528,11071431,256,283,267,280,10.91288856,87.7,23.8,91.8,29.9,
Iowa,2005,MW,478319,4599549,261,283,273,284,9.616070029,94.8,29.4,91.8,29.9,
Kansas,2005,MW,468481,4076597,262,285,271,283,8.701733902,91.8,31.4,91.8,29.9,
Kentucky,2005,SE,674502,5750671,258,275,270,273,8.52580274,85.3,22,85.6,24.5,
Louisiana,2005,SE,717625,5941561,247,267,259,268,8.279478836,82.9,21.6,85.6,24.5,
Maine,2005,NE,198745,2325138,264,282,276,280,11.69910186,92.5,25,92,34.6,
Maryland,2005,MA,865561,9782665,256,278,266,278,11.30210927,86.9,36.2,87.9,37.1,
Massachusetts,2005,NE,955225,12726283,269,291,278,292,13.3228119,92.4,42.7,92,34.6,
Michigan,2005,MW,1721351,20489512,256,279,266,275,11.90315746,90.7,28,91.8,29.9,
Minnesota,2005,MW,814660,9082593,263,291,274,289,11.14893698,94.5,35.9,91.8,29.9,
Mississippi,2005,SE,494382,3610904,246,263,255,262,7.303874332,83.8,19.7,85.6,24.5,
Missouri,2005,MW,902659,8170965,260,278,270,275,9.052106056,88.8,27.7,91.8,29.9,
Montana,2005,W,146552,1268328,265,286,274,287,8.654457121,94.9,27.9,90,28,
Nebraska,2005,MW,284553,2708776,261,285,274,283,9.519407632,91.5,32.4,91.8,29.9,
Nevada,2005,SW,399727,3483540,247,270,258,269,8.71479785,80.9,19.8,81.8,24.1,
New Hampshire,2005,NE,202223,2333264,264,286,275,285,11.5380743,93.2,34.6,92,34.6,
New Jersey,2005,MA,1368959,23023365,266,286,273,282,16.81815526,87.1,38,87.9,37.1,
New Mexico,2005,SW,326102,3011696,247,264,255,262,9.235441672,81.5,21.9,81.8,24.1,
New York,2005,MA,2816426,45086872,260,280,270,280,16.00854132,87.2,35.8,87.9,37.1,
North Carolina,2005,SE,1347177,10917913,251,281,266,282,8.104289934,86.1,28,85.6,24.5,
North Dakota,2005,MW,100413,985502,267,287,274,287,9.814486172,98.8,30.8,91.8,29.9,
Ohio,2005,MW,1778784,19785561,261,284,272,282,11.1230824,89.7,27.1,91.8,29.9,
Oklahoma,2005,SW,629145,4785987,254,272,265,271,7.607128722,86.5,23.4,81.8,24.1,
Oregon,2005,W,550502,5597579,258,284,268,281,10.16813563,88.5,28.9,90,28,
Pennsylvania,2005,MA,1755560,23183924,262,283,271,279,13.20599923,89.3,30.1,87.9,37.1,
Rhode Island,2005,NE,153596,1790591,256,272,266,273,11.65779708,90.4,33.7,92,34.6,
South Carolina,2005,SE,701176,6572191,252,282,262,281,9.373097482,85.5,24.2,85.6,24.5,
South Dakota,2005,MW,124862,1059303,264,287,273,287,8.483790104,92.8,29.3,91.8,29.9,
Tennessee,2005,SE,940769,7067521,255,270,264,271,7.512493503,86.9,23.9,85.6,24.5,
Texas,2005,SW,4334611,40302144,254,283,263,279,9.297753362,79.1,25.2,81.8,24.1,
Utah,2005,W,488055,3188018,255,280,269,278,6.532087572,95.1,29.1,90,28,
Vermont,2005,NE,92819,1634534,262,287,276,287,17.60990745,94.5,33.8,92,34.6,
Virginia,2005,SE,1203697,12385157,263,285,273,283,10.28926466,86.6,34.9,85.6,24.5,
Washington,2005,W,1019925,9399603,260,285,269,285,9.215974704,89.8,31.2,90,28,
West Virginia,2005,SE,279456,2698703,250,268,261,270,9.656987146,87.5,19.5,85.6,24.5,
Wisconsin,2005,MW,869301,9433502,261,285,273,284,10.85182463,91.5,28.8,91.8,29.9,
Wyoming,2005,W,84146,1033603,264,283,272,281,12.28344782,90.9,23,90,28,
United States,2006,N,NA,NA,NA,NA,NA,NA,NA,87.7,29.6,87.7,29.6,
Alabama,2006,SE,743265,6591429,NA,NA,NA,NA,8.868208512,84.4,22.6,86.4,24.5,
Alaska,2006,W,132893,1817656,NA,NA,NA,NA,13.67759024,93.9,26.4,91.8,28.9,
Arizona,2006,SW,947266,7934177,NA,NA,NA,NA,8.375870136,87.8,26.4,84.6,24.6,
Arkansas,2006,SE,472609,4343877,NA,NA,NA,NA,9.191270162,86.3,20.7,86.4,24.5,
California,2006,SW,6295994,68722432,NA,NA,NA,NA,10.91526326,81.7,29.7,84.6,24.6,
Colorado,2006,W,778842,7803324,NA,NA,NA,NA,10.0191361,90.8,36.4,91.8,28.9,
Connecticut,2006,NE,549744,7982143,NA,NA,NA,NA,14.51974555,92.9,37.4,93.7,35.1,
Delaware,2006,MA,114371,1646885,NA,NA,NA,NA,14.39949812,89.7,31.8,89.8,38.2,
District of Columbia,2006,MA,59616,1081887,NA,NA,NA,NA,18.14759461,89.5,55.7,89.8,38.2,
Florida,2006,SE,2663973,26609155,NA,NA,NA,NA,9.988522782,87.4,26.3,86.4,24.5,
Georgia,2006,SE,1597682,15839227,NA,NA,NA,NA,9.913879608,87.6,28.9,86.4,24.5,
Hawaii,2006,W,182818,1939968,NA,NA,NA,NA,10.61147152,93.8,30.2,91.8,28.9,
Idaho,2006,W,258314,1903720,NA,NA,NA,NA,7.369790255,89.8,24.6,91.8,28.9,
Illinois,2006,MW,2097585,22622323,NA,NA,NA,NA,10.78493744,89.7,33.8,91.9,30.1,
Indiana,2006,MW,1026106,11260755,NA,NA,NA,NA,10.97426094,89.1,24.7,91.9,30.1,
Iowa,2006,MW,483482,4930613,NA,NA,NA,NA,10.19813147,92.5,29.4,91.9,30.1,
Kansas,2006,MW,467279,4439000,NA,NA,NA,NA,9.499677923,91.2,32,91.9,30.1,
Kentucky,2006,SE,679621,6112978,NA,NA,NA,NA,8.994686745,87.9,22.8,86.4,24.5,
Louisiana,2006,SE,648313,6032182,NA,NA,NA,NA,9.304428571,83,21.7,86.4,24.5,
Maine,2006,NE,195675,2381439,NA,NA,NA,NA,12.17037946,95.3,26.8,93.7,35.1,
Maryland,2006,MA,860021,10585292,NA,NA,NA,NA,12.30817852,90.3,37.9,89.8,38.2,
Massachusetts,2006,NE,949951,13503621,NA,NA,NA,NA,14.21507109,92.5,43.2,93.7,35.1,
